direction,level_type,entry_date,exit_date,entry_price,exit_price,tp_price,sl_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
LONG,resistance,2018-03-18 22:00:00,2018-03-18 23:00:00,8083.09,8244.75,8244.75,8002.26,1.396088,225.69,22.8,202.9,4,take_profit
LONG,resistance,2018-03-19 00:00:00,2018-03-19 00:15:00,8404.93,8320.88,8573.03,8320.88,1.348665,-113.35,22.56,-135.91,1,stop_loss
LONG,resistance,2018-03-19 00:15:00,2018-03-19 00:45:00,8343.0,8259.57,8509.86,8259.57,1.354603,-113.01,22.49,-135.5,2,stop_loss
LONG,resistance,2018-03-19 00:45:00,2018-03-19 01:00:00,8285.75,8202.89,8451.46,8202.89,1.359874,-112.68,22.42,-135.1,1,stop_loss
LONG,resistance,2018-03-19 13:30:00,2018-03-19 14:00:00,8465.44,8634.75,8634.75,8380.79,1.327019,224.68,22.69,201.98,2,take_profit
LONG,resistance,2018-03-19 14:00:00,2018-03-19 14:15:00,8640.0,8553.6,8812.8,8553.6,1.306053,-112.84,22.46,-135.3,1,stop_loss
LONG,resistance,2018-03-19 14:15:00,2018-03-19 15:00:00,8580.34,8494.54,8751.95,8494.54,1.311192,-112.5,22.39,-134.89,3,stop_loss
LONG,resistance,2018-03-20 16:15:00,2018-03-20 19:30:00,8770.0,8945.4,8945.4,8682.3,1.278991,224.34,22.66,201.68,13,take_profit
LONG,resistance,2018-03-20 19:30:00,2018-03-20 20:30:00,8959.97,8870.37,9139.17,8870.37,1.257501,-112.67,22.42,-135.09,4,stop_loss
LONG,resistance,2018-03-20 20:30:00,2018-03-21 03:45:00,8888.93,9066.71,9066.71,8800.04,1.263751,224.67,22.69,201.98,29,take_profit
LONG,resistance,2018-03-21 03:45:00,2018-03-21 07:30:00,9042.23,8951.81,9223.07,8951.81,1.24791,-112.84,22.45,-135.29,15,stop_loss
LONG,resistance,2018-03-21 15:15:00,2018-03-21 15:45:00,9157.03,9065.46,9340.17,9065.46,1.228572,-112.5,22.39,-134.89,2,stop_loss
LONG,resistance,2018-03-21 15:45:00,2018-03-21 16:00:00,9039.99,8949.59,9220.79,8949.59,1.240748,-112.16,22.32,-134.48,1,stop_loss
SHORT,support,2018-03-22 09:30:00,2018-03-22 09:45:00,8750.11,8837.61,8575.11,8837.61,1.27801,-111.83,22.48,-134.3,1,stop_loss
SHORT,support,2018-03-22 09:45:00,2018-03-22 13:45:00,8785.01,8609.31,8609.31,8872.86,1.26911,222.98,22.08,200.91,16,take_profit
SHORT,support,2018-03-22 13:45:00,2018-03-22 17:45:00,8588.14,8674.02,8416.38,8674.02,1.304051,-111.99,22.51,-134.5,16,stop_loss
SHORT,support,2018-03-23 02:00:00,2018-03-23 12:45:00,8485.0,8315.3,8315.3,8569.85,1.31594,223.31,22.11,201.21,43,take_profit
SHORT,support,2018-03-23 12:45:00,2018-03-23 14:00:00,8299.0,8381.99,8133.02,8381.99,1.351494,-112.16,22.54,-134.7,5,stop_loss
LONG,resistance,2018-03-23 23:45:00,2018-03-24 02:00:00,8898.03,8809.05,9075.99,8809.05,1.256725,-111.82,22.25,-134.08,9,stop_loss
LONG,resistance,2018-03-24 04:45:00,2018-03-24 05:45:00,8974.99,8885.24,9154.49,8885.24,1.242214,-111.49,22.19,-133.67,4,stop_loss
LONG,resistance,2018-03-24 14:30:00,2018-03-24 15:30:00,8989.92,8900.02,9169.72,8900.02,1.236433,-111.15,22.12,-133.27,4,stop_loss
SHORT,support,2018-03-24 22:00:00,2018-03-24 22:30:00,8630.0,8716.3,8457.4,8716.3,1.284139,-110.82,22.28,-133.1,2,stop_loss
SHORT,support,2018-03-24 22:45:00,2018-03-25 02:45:00,8625.0,8452.5,8452.5,8711.25,1.281025,220.98,21.88,199.1,16,take_profit
SHORT,support,2018-03-25 02:45:00,2018-03-25 03:30:00,8465.03,8549.68,8295.73,8549.68,1.311114,-110.99,22.31,-133.29,3,stop_loss
SHORT,support,2018-03-25 07:00:00,2018-03-25 08:00:00,8440.0,8524.4,8271.2,8524.4,1.311054,-110.65,22.24,-132.89,4,stop_loss
SHORT,support,2018-03-25 08:00:00,2018-03-25 11:30:00,8544.96,8374.06,8374.06,8630.41,1.291062,220.64,21.84,198.8,14,take_profit
SHORT,support,2018-03-25 11:30:00,2018-03-25 12:30:00,8380.45,8464.25,8212.84,8464.25,1.322336,-110.82,22.27,-133.09,4,stop_loss
SHORT,support,2018-03-25 12:30:00,2018-03-25 13:45:00,8495.01,8579.96,8325.11,8579.96,1.300587,-110.48,22.21,-132.69,5,stop_loss
SHORT,support,2018-03-26 00:45:00,2018-03-26 02:00:00,8369.79,8453.49,8202.39,8453.49,1.316081,-110.15,22.14,-132.29,5,stop_loss
SHORT,support,2018-03-26 07:15:00,2018-03-26 10:45:00,8391.0,8223.18,8223.18,8474.91,1.308813,219.65,21.74,197.9,14,take_profit
SHORT,support,2018-03-26 10:45:00,2018-03-26 12:00:00,8190.09,8026.29,8026.29,8271.99,1.34696,220.63,21.84,198.79,5,take_profit
SHORT,support,2018-03-26 12:00:00,2018-03-26 12:15:00,8025.0,8105.25,7864.5,8105.25,1.380863,-110.81,22.27,-133.09,1,stop_loss
SHORT,support,2018-03-26 12:15:00,2018-03-26 17:00:00,8123.9,7961.42,7961.42,8205.14,1.359957,220.96,21.88,199.09,19,take_profit
SHORT,support,2018-03-26 17:00:00,2018-03-26 22:00:00,7921.21,8000.42,7762.79,8000.42,1.401039,-110.98,22.31,-133.29,20,stop_loss
SHORT,support,2018-03-27 02:45:00,2018-03-27 05:30:00,7845.99,7924.45,7689.07,7924.45,1.410224,-110.65,22.24,-132.89,11,stop_loss
