asset,direction,signal_type,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
NASDAQ,LONG,breakout,2024-06-11 18:00:00+00:00,2024-06-13 12:00:00+00:00,19164.75,19629.25,1.044766,485.29,5.22,480.07,40,max_hold
NASDAQ,LONG,breakout,2024-06-17 17:00:00+00:00,2024-06-17 20:00:00+00:00,19828.25,19913.0,1.014648,85.99,5.07,80.92,3,stop_loss
NASDAQ,LONG,breakout,2024-06-20 05:00:00+00:00,2024-06-20 11:00:00+00:00,20030.5,20030.5,1.005211,0.0,5.03,-5.03,6,stop_loss
NASDAQ,LONG,breakout,2024-06-25 16:00:00+00:00,2024-06-25 17:00:00+00:00,19959.25,19867.0,1.008749,-93.06,5.04,-98.1,1,stop_loss
NASDAQ,LONG,pullback,2024-06-26 15:00:00+00:00,2024-06-26 18:00:00+00:00,19974.75,19951.0,1.006984,-23.92,5.03,-28.95,3,ma_cross
NASDAQ,LONG,breakout,2024-07-02 15:00:00+00:00,2024-07-08 05:00:00+00:00,20111.25,20584.5,0.999861,473.18,5.0,468.18,40,max_hold
NASDAQ,LONG,breakout,2024-07-08 16:00:00+00:00,2024-07-09 14:00:00+00:00,20668.0,20709.0,0.977458,40.08,4.89,35.19,21,ma_cross
NASDAQ,LONG,breakout,2024-07-10 17:00:00+00:00,2024-07-11 13:00:00+00:00,20847.5,20847.5,0.969379,0.0,4.85,-4.85,19,stop_loss
NASDAQ,LONG,pullback,2024-08-26 13:00:00+00:00,2024-08-26 14:00:00+00:00,19774.5,19703.109,1.02193,-72.96,5.11,-78.07,1,stop_loss
NASDAQ,SHORT,breakout,2024-09-18 16:00:00+00:00,2024-09-18 17:00:00+00:00,19372.75,19482.75,1.042317,-114.65,5.21,-119.87,1,stop_loss
NASDAQ,LONG,breakout,2024-09-25 14:00:00+00:00,2024-09-25 17:00:00+00:00,20231.5,20137.5,0.99689,-93.71,4.98,-98.69,3,stop_loss
