asset,direction,signal_type,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
BTC-Binance,SHORT,pullback,2021-07-02 10:55:00,2021-07-02 11:05:00,32921.88,33114.9602,0.448274,-86.55,29.6,-116.16,2,stop_loss
BTC-Binance,LONG,pullback,2021-07-04 05:20:00,2021-07-04 08:20:00,34730.27,35461.41,0.424264,310.2,29.78,280.42,36,ma_cross
BTC-Binance,LONG,pullback,2021-07-04 17:05:00,2021-07-04 18:10:00,35449.09,35449.09,0.417243,0.0,29.58,-29.58,13,stop_loss
BTC-Binance,SHORT,pullback,2021-07-08 09:40:00,2021-07-08 11:40:00,32617.35,32617.35,0.453285,0.0,29.57,-29.57,24,stop_loss
BTC-Binance,SHORT,pullback,2021-07-08 14:35:00,2021-07-08 14:40:00,32638.92,32742.0909,0.452805,-46.72,29.6,-76.32,1,stop_loss
BTC-Binance,LONG,pullback,2021-07-11 16:15:00,2021-07-11 16:35:00,33876.59,33876.59,0.435811,0.0,29.53,-29.53,4,stop_loss
BTC-Binance,LONG,pullback,2021-07-12 04:55:00,2021-07-12 05:10:00,34334.02,34218.4471,0.429833,-49.68,29.47,-79.14,3,stop_loss
BTC-Binance,SHORT,pullback,2021-07-13 09:10:00,2021-07-13 09:55:00,33181.8,33289.8105,0.444281,-47.99,29.53,-77.52,9,stop_loss
BTC-Binance,SHORT,pullback,2021-07-16 05:00:00,2021-07-16 07:10:00,31907.57,31720.97,0.461538,86.12,29.37,56.76,26,ma_cross
BTC-Binance,SHORT,pullback,2021-07-17 05:10:00,2021-07-17 05:20:00,31408.03,31499.8749,0.46924,-43.1,29.52,-72.62,2,stop_loss
BTC-Binance,SHORT,pullback,2021-07-17 12:05:00,2021-07-17 12:25:00,31349.38,31471.5756,0.469655,-57.39,29.5,-86.89,4,stop_loss
BTC-Binance,SHORT,pullback,2021-07-19 20:05:00,2021-07-19 21:15:00,30731.26,30841.6201,0.478536,-52.81,29.46,-82.28,14,stop_loss
BTC-Binance,SHORT,pullback,2021-07-20 05:15:00,2021-07-20 07:15:00,29707.02,29813.91,0.494481,-52.86,29.43,-82.29,24,ma_cross
BTC-Binance,LONG,pullback,2021-07-23 05:50:00,2021-07-23 06:00:00,32667.24,32524.7632,0.449168,-64.0,29.28,-93.28,2,stop_loss
BTC-Binance,LONG,pullback,2021-07-24 05:15:00,2021-07-24 07:15:00,33624.99,33790.86,0.43582,72.29,29.38,42.91,24,ma_cross
BTC-Binance,LONG,pullback,2021-07-25 19:00:00,2021-07-25 19:05:00,34407.12,34297.605,0.426162,-46.67,29.28,-75.95,1,stop_loss
BTC-Binance,LONG,pullback,2021-07-26 03:10:00,2021-07-26 06:50:00,38120.94,38605.09,0.384246,186.03,29.48,156.55,44,ma_cross
BTC-Binance,LONG,pullback,2021-07-30 03:05:00,2021-07-30 04:10:00,39990.67,39849.6563,0.367064,-51.76,29.31,-81.07,13,stop_loss
BTC-Binance,LONG,pullback,2021-07-31 16:45:00,2021-07-31 17:00:00,41371.25,41235.1756,0.354423,-48.23,29.28,-77.51,3,stop_loss
BTC-Binance,LONG,pullback,2021-08-01 09:00:00,2021-08-01 10:05:00,41750.11,41750.11,0.350836,0.0,29.29,-29.29,13,stop_loss
BTC-Binance,SHORT,pullback,2021-08-02 13:50:00,2021-08-02 13:55:00,39454.5,39624.0469,0.3711,-62.92,29.35,-92.26,1,stop_loss
BTC-Binance,LONG,pullback,2021-08-06 11:55:00,2021-08-06 12:00:00,40566.72,40414.8578,0.360471,-54.74,29.19,-83.93,1,stop_loss
BTC-Binance,LONG,pullback,2021-08-06 14:00:00,2021-08-06 14:30:00,40924.08,40650.6293,0.356913,-97.6,29.12,-126.71,6,stop_loss
BTC-Binance,LONG,pullback,2021-08-08 01:15:00,2021-08-08 01:20:00,44255.36,44126.9998,0.329474,-42.29,29.12,-71.41,1,stop_loss
BTC-Binance,LONG,pullback,2021-08-08 04:55:00,2021-08-08 07:30:00,44283.67,44900.0,0.328941,202.74,29.34,173.4,31,ma_cross
BTC-Binance,LONG,pullback,2021-08-11 16:00:00,2021-08-11 16:50:00,46456.91,46255.7471,0.314299,-63.23,29.14,-92.36,10,stop_loss
BTC-Binance,LONG,pullback,2021-08-13 19:00:00,2021-08-13 19:25:00,46510.58,46338.4465,0.31354,-53.97,29.11,-83.08,5,stop_loss
BTC-Binance,SHORT,pullback,2021-08-17 16:20:00,2021-08-17 18:05:00,45808.1,46130.5811,0.317985,-102.54,29.24,-131.78,21,stop_loss
